Rank	Score	Type	ID	Name	Description
440	83.64	cp	BRD-A44090213	indoprofen	Cyclooxygenase inhibitor
441	83.59	cp	BRD-A16700644	isoxsuprine	Adrenergic receptor agonist
446	83.49	cp	BRD-U44618005	WH-4023	SRC inhibitor
455	83.26	cp	BRD-K50398167	meclofenamic-acid	Cyclooxygenase inhibitor
458	83.09	cp	BRD-K45296539	ZD-7114	Adrenergic receptor agonist
459	83.09	cp	BRD-K61951118	FG-7142	GABA benzodiazepine site receptor inverse agonist
462	83.01	cp	BRD-K97764662	PD-173074	FGFR inhibitor
472	82.64	cp	BRD-K31283835	tofacitinib	JAK inhibitor
473	82.63	cp	BRD-K27710560	splitomycin	SIRT inhibitor
474	82.6	cp	BRD-K30677119	PP-30	RAF inhibitor
478	82.52	cp	BRD-K04877770	FTase-inhibitor-B581	Farnesyltransferase inhibitor
480	82.38	cp	BRD-K35128472	2-aminopurine	Serine/threonine kinase inhibitor
483	82.28	cp	BRD-A33447119	oxfendazole	Anthelmintic
485	82.23	cp	BRD-K57631554	aminolevulinic-acid	Oxidizing agent
487	82.18	cp	BRD-A15914070	4-hydroxy-2-nonenal	Cytotoxic lipid peroxidation product
488	82.18	cp	BRD-K28143534	cyproheptadine	Histamine receptor antagonist
490	82.14	cp	BRD-K41337261	ZM-306416	ABL inhibitor
504	81.58	cp	BRD-A09533288	verapamil	Calcium channel blocker
520	81.07	cp	BRD-A84702196	penicillin	Bacterial cell wall synthesis inhibitor
523	80.83	cp	BRD-K93095519	SJ-172550	MDM inhibitor
527	80.74	cp	BRD-K22009844	phenprobamate	Muscle relaxant
535	80.49	cp	BRD-K60160658	tiagabine	GABA uptake inhibitor
536	80.46	cp	BRD-K51223576	AG-99	Tyrosine kinase inhibitor
540	80.21	cp	BRD-A68281735	REV-5901	Leukotriene receptor antagonist
541	80.16	cp	BRD-A30655177	LFM-A13	BTK inhibitor
542	80.11	cp	BRD-A94709349	metaxalone	Muscle relaxant
543	80.02	cp	BRD-K12932420	YM-976	Phosphodiesterase inhibitor
546	79.95	cp	BRD-K29733039	deforolimus	MTOR inhibitor
548	79.94	cp	BRD-K51918615	iodophenpropit	Histamine receptor antagonist
552	79.86	cp	BRD-A14395271	mesoridazine	Dopamine receptor antagonist
553	79.8	cp	BRD-K53414658	tivozanib	VEGFR inhibitor
558	79.68	cp	BRD-K64881305	ispinesib	Kinesin-like spindle protein inhibitor
559	79.66	cp	BRD-K46142322	RS-67333	Serotonin receptor partial agonist
560	79.64	cp	BRD-A08709697	heliotrine	Pyrrolizidine alkaloid
561	79.62	cp	BRD-A19053259	pseudopelletierine	Anthelmintic
563	79.61	cp	BRD-A42167015	carteolol	Adrenergic receptor antagonist
565	79.47	cp	BRD-K53790871	triamcinolone	Glucocorticoid receptor agonist
569	79.3	cp	BRD-A37492983	iocetamic-acid	Radiopaque medium
572	79.2	cp	BRD-K00486786	RO-08-2750	NGF binding inhibitor
573	79.11	cp	BRD-K55191674	benzylpenicillin	Penicillin binding protein inhibitor
578	79	cp	BRD-K47278471	diphenhydramine	Histamine receptor antagonist
579	78.86	cp	BRD-A83937277	mephenytoin	Hydantoin antiepileptic
584	78.63	cp	BRD-K33211335	dextromethorphan	Glutamate receptor antagonist
586	78.57	cp	BRD-A15493168	tetracycline	Bacterial 30S ribosomal subunit inhibitor
593	78.37	cp	BRD-K43764301	dexketoprofen	Cyclooxygenase inhibitor
605	77.89	cp	BRD-K25741894	skimmianine	Acetylcholinesterase inhibitor
606	77.77	cp	BRD-K16478699	PLX-4720	RAF inhibitor
611	77.2	cp	BRD-U97083655	teicoplanin	Bacterial cell wall synthesis inhibitor
613	77.12	cp	BRD-A68888262	azelastine	Histamine receptor antagonist
615	77.09	cp	BRD-K46424862	hymecromone	Monoamine oxidase inhibitor
616	77.06	cp	BRD-K66206289	lobeline	Acetylcholine receptor antagonist
617	77.05	cp	BRD-K05350981	oligomycin-c	ATPase inhibitor
622	76.87	cp	BRD-K10961822	latanoprost	Prostanoid receptor agonist
627	76.59	cp	BRD-A41304429	practolol	Adrenergic receptor antagonist
631	76.38	cp	BRD-K89152108	liothyronine	Thyroid hormone stimulant
634	76.29	cp	BRD-K72420232	WZ-4002	EGFR inhibitor
636	76.2	cp	BRD-K31699485	DMEOB	glutamate receptor modulator
637	76.2	cp	BRD-K51671335	sulpiride	Dopamine receptor antagonist
640	76.17	cp	BRD-K93080877	Ala-Ala-Phe-CMK	Tripeptidyl peptidase inhibitor
641	76.16	cp	BRD-K66175015	afatinib	EGFR inhibitor
646	76.04	cp	BRD-K28168037	fenretinide	Apoptosis stimulant
650	75.78	cp	BRD-K92991072	PAC-1	Caspase activator
652	75.72	cp	BRD-K51485625	ritonavir	HIV protease inhibitor
662	74.94	cp	BRD-K89375097	pirenzepine	Acetylcholine receptor antagonist
663	74.8	cp	BRD-M00539986	formoterol	Adrenergic receptor agonist
665	74.77	cp	BRD-A62025033	temsirolimus	MTOR inhibitor
668	74.64	cp	BRD-K98493452	honokiol	AKT inhibitor
671	74.5	cp	BRD-A49370193	RO-60-0175	Serotonin receptor agonist
672	74.45	cp	BRD-K52313696	tacedinaline	HDAC inhibitor
675	74.35	cp	BRD-K94689771	pinocembrin	CYP1B1 inhibitor
677	74.11	cp	BRD-A44008656	doxylamine	Histamine receptor antagonist
690	73.74	cp	BRD-A11990600	lorazepam	Benzodiazepine receptor agonist
692	73.66	cp	BRD-A47494775	dipivefrine	Adrenergic receptor agonist
698	73.28	cp	BRD-K50324045	avrainvillamide-analog-6	nucleophosmin inhibitor
699	73.27	cp	BRD-K74430258	1,2-dichlorobenzene	Hepatotoxicant
700	73.27	cp	BRD-K49481516	galantamine	Acetylcholinesterase inhibitor
701	73.26	cp	BRD-K41143549	BRD-K41143549	Glutamate receptor antagonist
704	73.12	cp	BRD-K21565985	xylazine	Adrenergic receptor agonist
708	72.98	cp	BRD-K04430056	7-nitroindazole	nitric oxide synthase inhibitor
710	72.96	cp	BRD-K42142750	retrorsine	Antimitotic
714	72.76	cp	BRD-K80672993	M2-PK-activator	-666
715	72.75	cp	BRD-K94887716	TFMPP	Serotonin receptor agonist
719	72.64	cp	BRD-A43974575	tranylcypromine	Monoamine oxidase inhibitor
722	72.59	cp	BRD-K04887706	AKT-inhibitor-1-2	AKT inhibitor
725	72.47	cp	BRD-K01095011	finasteride	5-alpha reductase inhibitor
727	72.4	cp	BRD-A26845397	isamoltan	Adrenergic receptor antagonist
729	72.25	cp	BRD-A55946879	BW-B70C	Lipoxygenase inhibitor
734	71.9	cp	BRD-A68039575	liquiritigenin	Aromatase inhibitor
738	71.8	cp	BRD-K80725821	RS-16566	Serotonin receptor antagonist
741	71.73	cp	BRD-K64514229	toltrazuril	Antiprotozoal
747	71.35	cp	BRD-K18619710	digoxigenin	Steroid
751	71.13	cp	BRD-K59962020	CHEMBL-374350	NFkB pathway inhibitor
754	70.97	cp	BRD-A72596465	GW-6471	PPAR receptor antagonist
757	70.81	cp	BRD-K55677650	CO-101244	Ionotropic glutamate receptor antagonist
761	70.67	cp	BRD-K59331372	SB-366791	TRPV antagonist
765	70.51	cp	BRD-A62182663	YK-4279	Apoptosis stimulant
767	70.48	cp	BRD-A80928489	1-monopalmitin	P-glycoprotein inhibitor
768	70.46	cp	BRD-K26657438	imiquimod	TLR agonist
770	70.39	cp	BRD-A22769835	homochlorcyclizine	Antihistamine
774	70.02	cp	BRD-K61097567	SB-218795	Tachykinin antagonist
777	69.9	cp	BRD-K02715688	hydrastine	Tyrosine hydroxylase inhibitor
784	69.45	cp	BRD-K26373640	IKK-2-inhibitor	IKK inhibitor
785	69.4	cp	BRD-K57718010	pentylenetetrazol	GABA receptor antagonist
786	69.4	cp	BRD-K68402494	ML-9	Myosin light chain kinase inhibitor
790	69.33	cp	BRD-A64125466	dehydrocholic-acid	choleretic agent
796	69.18	cp	BRD-A73909368	dactinomycin	RNA polymerase inhibitor
798	69.1	cp	BRD-K51018020	VAMA-37	DNA dependent protein kinase inhibitor
799	69.08	cp	BRD-K46068882	eugenitol	Bacterial quorum sensing inhibitor
801	68.93	cp	BRD-A13807286	HA-14-1	BCL inhibitor
805	68.84	cp	BRD-K26134695	calpeptin	Calpain inhibitor
809	68.72	cp	BRD-A84189516	baccatin-III	Paclitaxel precursor
810	68.66	cp	BRD-K66615216	moxifloxacin	Bacterial DNA gyrase inhibitor
811	68.6	cp	BRD-K34170797	fexaramine	FXR agonist
812	68.6	cp	BRD-K71266197	PSB-06126	NTPDase inhibitor
813	68.58	cp	BRD-K20482099	rutin	Antioxidant
814	68.58	cp	BRD-A47598013	citalopram	Serotonin reuptake inhibitor
817	68.45	cp	BRD-A37347161	BRL-52537	Opioid receptor agonist
820	68.26	cp	BRD-K86873305	piperacillin	Bacterial cell wall synthesis inhibitor
822	68.04	cp	BRD-K95763993	trapidil	PDGFR receptor inhibitor
823	67.88	cp	BRD-A90515964	guaifenesin	Expectorant
825	67.86	cp	BRD-K51730347	diphencyprone	Immunostimulant
828	67.8	cp	BRD-K01638814	rilmenidine	Adrenergic receptor agonist
834	67.54	cp	BRD-K33882852	ZK-93423	Benzodiazepine receptor agonist
838	67.41	cp	BRD-A02713983	dihydrodeoxygedunin	Growth factor receptor activator
840	67.33	cp	BRD-K19894101	MST-312	Telomerase inhibitor
843	67.05	cp	BRD-K90543092	levonorgestrel	Estrogen receptor agonist
844	67.01	cp	BRD-K24994810	androstenol	GABA receptor modulator
845	66.95	cp	BRD-A95096829	PNU-96415E	Dopamine receptor antagonist
846	66.92	cp	BRD-K66766661	17-beta-estradiol	Estrogen receptor agonist
849	66.71	cp	BRD-K85013741	auraptene	Nitric oxide production inhibitor
851	66.55	cp	BRD-K26997899	SA-792574	Microtubule inhibitor
853	66.47	cp	BRD-K60770992	pergolide	Dopamine receptor agonist
854	66.24	cp	BRD-K32906660	bis-tyrphostin	EGFR inhibitor
855	66.23	cp	BRD-K64157027	ZD-2079	Adrenergic receptor agonist
856	66.19	cp	BRD-K99818283	PIK-90	PI3K inhibitor
858	66.09	cp	BRD-K40213712	SAL-1	Adenosine receptor antagonist
861	65.93	cp	BRD-K01902415	pirinixic-acid	PPAR receptor agonist
863	65.81	cp	BRD-K20197062	SA-94315	Caspase inhibitor
864	65.7	cp	BRD-K94919853	10H-phenothiazin-10-yl)(p-tolyl)methanone	Butyrylcholinesterase inhibitor
875	65.32	cp	BRD-A34751532	homosalate	HSP inducer
876	65.26	cp	BRD-K47639036	flavoxate	Acetylcholine receptor antagonist
880	64.9	cp	BRD-K91290917	amodiaquine	Histamine receptor agonist
884	64.72	cp	BRD-K11927976	ER-27319	Mediator release inhibitor
896	64.19	cp	BRD-A66927094	nemonapride	Dopamine receptor antagonist
898	64.16	cp	BRD-K34776109	glimepiride	Insulin secretagogue
903	64.02	cp	BRD-K24681473	YM-155	Survivin inhibitor
914	63.53	cp	BRD-K06024458	n-arachidonyl-GABA	cannabinoid receptor agonist
915	63.52	cp	BRD-K76274772	MAPP-D-erythro	Ceramidase inhibitor
918	63.49	cp	BRD-K38055836	etamivan	Respiratory stimulant
924	63.25	cp	BRD-K99174507	cardiogenol-c	Cardiomyogenesis inducer
925	63.21	cp	BRD-K88868628	iodoacetic-acid	Cysteine peptidase inhibitor
926	63.18	cp	BRD-K14329163	BAY-K8644	Calcium channel activator
929	63.06	cp	BRD-K57222227	indometacin	Cyclooxygenase inhibitor
932	62.98	cp	BRD-K28120222	parthenolide	NFkB pathway inhibitor
934	62.93	cp	BRD-K48722258	dilazep	Adenosine reuptake inhibitor
935	62.89	cp	BRD-K34508425	KUC103898N	-666
936	62.82	cp	BRD-K82746043	navitoclax	BCL inhibitor
941	62.73	cp	BRD-K08703257	3-amino-benzamide	PARP inhibitor
942	62.68	cp	BRD-K00673382	famotidine	Histamine receptor antagonist
946	62.52	cp	BRD-K83637872	SANT-1	Smoothened receptor antagonist
947	62.51	cp	BRD-A83326220	brazilin	Nitric oxide production inhibitor
949	62.48	cp	BRD-K34581968	BMS-536924	IGF-1 inhibitor
959	61.93	cp	BRD-A10355991	norketamine	Glutamate receptor antagonist
960	61.88	cp	BRD-K94270326	ecopipam	Dopamine receptor antagonist
965	61.82	cp	BRD-K28115081	apafant	Platelet activating factor receptor antagonist
967	61.65	cp	BRD-K51751936	alfadolone	GABA receptor agonist
969	61.63	cp	BRD-A68631409	evodiamine	ATPase inhibitor
970	61.6	cp	BRD-K70883034	nimetazepam	GABA receptor agonist
971	61.57	cp	BRD-K93618743	ipriflavone	Bone resorption inhibitor
972	61.53	cp	BRD-A71009679	KUC103420N	-666
975	61.38	cp	BRD-A29731977	17-hydroxyprogesterone-caproate	progesterone receptor agonist
976	61.36	cp	BRD-K87049188	fusaric-acid	Dopamine beta hydroxylase inhibitor
977	61.35	cp	BRD-K05653692	DL-PDMP	Glucosyltransferase inhibitor
979	61.29	cp	BRD-K91623615	ABT-751	Tubulin inhibitor
981	61.26	cp	BRD-K82983861	GW-0742	PPAR receptor agonist
982	61.23	cp	BRD-K54095730	CMPD-1	p38 MAPK inhibitor
985	61.14	cp	BRD-K59637651	NSC-119889	Protein synthesis inhibitor
987	61.08	cp	BRD-K04146668	GW-441756	Growth factor receptor inhibitor
992	61.01	cp	BRD-A42571354	cetirizine	Histamine receptor antagonist
995	60.84	cp	BRD-K10870738	CDC	Lipoxygenase inhibitor
996	60.8	cp	BRD-K84085265	CG-930	JNK inhibitor
999	60.72	cp	BRD-K22096725	ALW-II-49-7	Ephrin inhibitor
1003	60.59	cp	BRD-K46384212	o-3M3FBS	phospholipase activator
1006	60.48	cp	BRD-K44779798	miglitol	Glucosidase inhibitor
1008	60.39	cp	BRD-K39983086	loteprednol	Glucocorticoid receptor agonist
1010	60.33	cp	BRD-K14550461	doxercalciferol	Vitamin D receptor agonist
1013	60.21	cp	BRD-K59753975	vindesine	Tubulin inhibitor
1014	60.2	cp	BRD-K90864987	cobalt(II)-chloride	HSP inducer
1015	60.2	cp	BRD-K75478907	GS-39783	GABA receptor modulator
1018	59.79	cp	BRD-K76908866	CP-724714	EGFR inhibitor
1020	59.78	cp	BRD-K33204703	AG-370	PDGFR receptor inhibitor
1021	59.76	cp	BRD-K06817181	BRD-K06817181	JAK inhibitor
1026	59.51	cp	BRD-A50311610	meclozine	CAR agonist
1027	59.51	cp	BRD-A20697603	thiostrepton	FOXM1 inhibitor
1033	59.25	cp	BRD-A12016240	LY-278584	Serotonin receptor antagonist
1037	59.08	cp	BRD-K31238592	devazepide	CCK receptor antagonist
1038	59.02	cp	BRD-K50311478	tosyl-phenylalanyl-chloromethyl-ketone	Chymotrypsin inhibitor
1039	59.01	cp	BRD-K09436313	prostaglandin	Prostanoid receptor antagonist
1045	58.87	cp	BRD-K25905511	buddleoflavonoloside	Acetylcholinesterase inhibitor
1048	58.68	cp	BRD-K82216340	medroxyprogesterone	progesterone receptor agonist
1050	58.65	cp	BRD-K28453807	nitrocaramiphen	Cholinergic receptor antagonist
1052	58.61	cp	BRD-K59851896	calycanthine	GABA release inhibitor
1055	58.52	cp	BRD-K17075857	chloroxine	Opioid receptor antagonist
1057	58.5	cp	BRD-K05658747	raltegravir	HIV integrase inhibitor
1059	58.45	cp	BRD-A99411506	esculin	Antioxidant
1060	58.43	cp	BRD-A63998256	helveticoside	ATPase inhibitor
1061	58.41	cp	BRD-A91555231	norepinephrine	Adrenergic receptor agonist
1062	58.39	cp	BRD-K17497770	butein	EGFR inhibitor
1063	58.39	cp	BRD-A84389633	tropanyl-3,5-dimethylbenzoate	Serotonin receptor antagonist
1066	58.29	cp	BRD-A78377521	monastrol	Kinesin-like spindle protein inhibitor
1067	58.25	cp	BRD-K21733600	rofecoxib	Cyclooxygenase inhibitor
1069	58.06	cp	BRD-A49906757	scopolamine	Acetylcholine receptor antagonist
1071	57.99	cp	BRD-A19195498	trimipramine	Norepinephrine reuptake inhibitor
1073	57.98	cp	BRD-K68392338	ZK-93426	Benzodiazepine receptor antagonist
1074	57.96	cp	BRD-A08187463	racecadotril	Enkephalinase inhibitor
1076	57.95	cp	BRD-K49372556	mofezolac	Cyclooxygenase inhibitor
1089	57.47	cp	BRD-K91315211	betahistine	Histamine receptor agonist
1090	57.46	cp	BRD-K98763141	niflumic-acid	Cyclooxygenase inhibitor
1091	57.42	cp	BRD-K67017579	cilostazol	Phosphodiesterase inhibitor
1097	57.35	cp	BRD-K98684188	GSK-0660	PPAR receptor antagonist
1100	56.97	cp	BRD-K81209512	AG-494	EGFR inhibitor
1102	56.88	cp	BRD-K32744045	disulfiram	Aldehyde dehydrogenase inhibitor
1106	56.74	cp	BRD-A51393488	noscapine	Bradykinin receptor antagonist
1113	56.51	cp	BRD-K12002134	megestrol	progesterone receptor agonist
1114	56.36	cp	BRD-K08109516	L-701324	Glutamate receptor antagonist
1116	56.23	cp	BRD-K94080537	diethyltoluamide	DEET activator of fly antenna ionotropic receptor IR40a
1120	56.07	cp	BRD-K82731415	olomoucine	CDK inhibitor
1121	56.03	cp	BRD-A74980173	gatifloxacin	Bacterial DNA gyrase inhibitor
1122	55.97	cp	BRD-K41260949	valproic-acid	HDAC inhibitor
1128	55.71	cp	BRD-K55454768	TAS-301	Calcium-calmodulin dependent protein kinase inhibitor
1130	55.65	cp	BRD-A79981887	midodrine	Adrenergic receptor agonist
1137	55.19	cp	BRD-A66563878	medetomidine	Adrenergic receptor agonist
1138	55.13	cp	BRD-A92670106	tocainide	Sodium channel blocker
1141	54.97	cp	BRD-K27305650	LY-294002	MTOR inhibitor
1142	54.96	cp	BRD-K12260308	xanthoxyline	Antifungal
1144	54.92	cp	BRD-K49519144	LY-2140023	Glutamate receptor agonist
1146	54.86	cp	BRD-K47761761	PD-168077	Dopamine receptor agonist
1147	54.81	cp	BRD-A32164164	methyllycaconitine	Acetylcholine receptor antagonist
1153	54.52	cp	BRD-K44899736	RO-16-6941	Monoamine oxidase inhibitor
1158	54.19	cp	BRD-K83636919	entacapone	Catechol O methyltransferase inhibitor
1164	54.03	cp	BRD-K29555132	arachidonamide	Cannabinoid receptor agonist
1166	53.95	cp	BRD-K26674531	GR-235	Estrogen receptor agonist
1168	53.92	cp	BRD-K08996725	zolantidine	Histamine receptor antagonist
1169	53.88	cp	BRD-K06159959	CCMQ	Inhibitor of the binding of homoquinolinic acid to non-NMDA sensitive sites
1170	53.87	cp	BRD-K26801045	pipamperone	Dopamine receptor antagonist
1173	53.77	cp	BRD-A26097136	bulleyaconitine-a	Non-opiod analgesic
1176	53.63	cp	BRD-K43290182	Ro-04-6790	Serotonin receptor antagonist
1177	53.47	cp	BRD-A71657825	2-(biphenyl-4-ylsulfonamido)pentanedioic-acid	Matrix metalloprotease inhibitor
1178	53.41	cp	BRD-A71203467	l-stepholidine	Dopamine receptor antagonist
1181	53.25	cp	BRD-K36324071	NF-449	Purinergic receptor antagonist
1182	53.2	cp	BRD-K67637637	olopatadine	Histamine receptor antagonist
1185	53.15	cp	BRD-A80641450	FR-139317	Endothelin receptor antagonist
1190	53.04	cp	BRD-K38323065	phenacetin	Cyclooxygenase inhibitor
1193	53.02	cp	BRD-K91336023	mesulergine	Dopamine receptor agonist
1195	52.87	cp	BRD-K19554809	MK-212	Serotonin receptor agonist
1196	52.84	cp	BRD-K41445866	alfaxalone	Chloride channel agonist
1197	52.8	cp	BRD-K48735772	PD-158780	EGFR inhibitor
1198	52.8	cp	BRD-A62057054	MDL-11939	Serotonin receptor antagonist
1200	52.76	cp	BRD-K88679075	methandriol	Androgenic steroid
